"M001","Paracetamol 500 mg","2.50","10"
"M002","Aspirin 75 mg","3.00","300"
"M003","Omeprazole 20 mg","5.00","250"
"M004","Napa 500 mg","10.00","200"
"M005","Amoxicillin 500 mg","12.00","180"
"M006","Azithromycin 500 mg","35.00","120"
"M007","Cefixime 200 mg","45.00","100"
"M008","Cefuroxime 500 mg","55.00","100"
"M009","Ciprofloxacin 500 mg","18.00","150"
"M010","Doxycycline 100 mg","14.00","140"
"M011","Metronidazole 400 mg","4.00","250"
"M012","Clarithromycin 500 mg","42.00","80"
"M013","Flucloxacillin 500 mg","11.00","130"
"M014","Co-amoxiclav 625 mg","32.00","120"
"M015","Nitrofurantoin 100 mg","9.00","110"
"M016","Acyclovir 400 mg","20.00","90"
"M017","Albendazole 400 mg","8.00","150"
"M018","Fluconazole 150 mg","25.00","100"
"M019","Cetirizine 10 mg","3.00","300"
"M020","Loratadine 10 mg","4.00","250"
"M021","Fexofenadine 120 mg","12.00","180"
"M022","Montelukast 10 mg","15.00","160"
"M023","Salbutamol 4 mg","3.50","200"
"M024","Salbutamol Inhaler","180.00","75"
"M025","Budesonide Inhaler","350.00","60"
"M026","Prednisolone 5 mg","2.00","250"
"M027","Dexamethasone 0.5 mg","2.50","200"
"M028","Hydrocortisone Cream 1%","65.00","90"
"M029","Diclofenac 50 mg","4.00","200"
"M030","Ibuprofen 400 mg","3.50","250"
"M031","Naproxen 250 mg","7.00","150"
"M032","Ketorolac 10 mg","9.00","100"
"M033","Tramadol 50 mg","14.00","90"
"M034","Pregabalin 75 mg","18.00","120"
"M035","Gabapentin 300 mg","12.00","120"
"M036","Amitriptyline 25 mg","4.00","180"
"M037","Losartan 50 mg","8.00","250"
"M038","Amlodipine 5 mg","3.00","300"
"M039","Atenolol 50 mg","2.50","220"
"M040","Bisoprolol 5 mg","6.00","180"
"M041","Metoprolol 50 mg","5.00","180"
"M042","Hydrochlorothiazide 25 mg","2.00","200"
"M043","Furosemide 40 mg","3.00","160"
"M044","Spironolactone 25 mg","5.00","140"
"M045","Atorvastatin 10 mg","10.00","200"
"M046","Rosuvastatin 10 mg","18.00","170"
"M047","Clopidogrel 75 mg","12.00","180"
"M048","Isosorbide Mononitrate 20 mg","6.00","140"
"M049","Metformin 500 mg","2.50","350"
"M050","Glimepiride 2 mg","4.00","220"
"M051","Sitagliptin 100 mg","45.00","100"
"M052","Insulin Regular 100 IU/ml","420.00","50"
"M053","Insulin Glargine 100 IU/ml","950.00","35"
"M054","Levothyroxine 50 mcg","3.00","180"
"M055","Carbimazole 5 mg","5.00","150"
"M056","Domperidone 10 mg","4.00","180"
"M057","Ondansetron 4 mg","8.00","150"
"M058","Loperamide 2 mg","3.00","170"
"M059","Oral Rehydration Salts","12.00","300"
"M060","Lactulose Syrup","160.00","75"
"M061","Bisacodyl 5 mg","3.00","150"
"M062","Antacid Suspension","95.00","110"
"M063","Pantoprazole 40 mg","7.00","200"
"M064","Esomeprazole 20 mg","9.00","180"
"M065","Sucralfate Suspension","130.00","80"
"M066","Dicyclomine 10 mg","5.00","130"
"M067","Tamsulosin 0.4 mg","14.00","120"
"M068","Finasteride 5 mg","11.00","120"
"M069","Sildenafil 50 mg","30.00","60"
"M070","Ferrous Sulfate 200 mg","3.00","250"
"M071","Folic Acid 5 mg","1.50","300"
"M072","Calcium Carbonate 500 mg","4.00","220"
"M073","Vitamin D3 20000 IU","25.00","130"
"M074","Vitamin B Complex","5.00","200"
"M075","Zinc Sulfate 20 mg","4.00","180"
"M076","Multivitamin Syrup","145.00","80"
"M077","Vitamin C 500 mg","5.00","200"
"M078","Potassium Chloride 600 mg","6.00","100"
"M079","Magnesium Oxide 400 mg","7.00","100"
"M080","Tranexamic Acid 500 mg","10.00","120"
"M081","Ethamsylate 500 mg","12.00","100"
"M082","Medroxyprogesterone 10 mg","8.00","110"
"M083","Combined Oral Contraceptive","18.00","100"
"M084","Clotrimazole Cream 1%","55.00","100"
"M085","Mupirocin Ointment 2%","95.00","80"
"M086","Permethrin Lotion 5%","120.00","65"
"M087","Ketoconazole Shampoo 2%","190.00","60"
"M088","Benzoyl Peroxide Gel 2.5%","140.00","70"
"M089","Adapalene Gel 0.1%","180.00","60"
"M090","Artificial Tears Eye Drops","135.00","80"
"M091","Chloramphenicol Eye Drops","75.00","90"
"M092","Moxifloxacin Eye Drops","180.00","70"
"M093","Ciprofloxacin Ear Drops","85.00","80"
"M094","Xylometazoline Nasal Drops","65.00","100"
"M095","Povidone Iodine Solution","85.00","120"
"M096","Chlorhexidine Mouthwash","130.00","90"
"M097","Baclofen 10 mg","6.00","130"
"M098","Levetiracetam 500 mg","28.00","100"
"M099","Sodium Valproate 200 mg","9.00","120"
"M100","Sertraline 50 mg","12.00","100"
