"RV001","2026-09-20","Consultation","50000"
"RV002","2026-09-20","Laboratory","30000"
"RV003","2026-09-21","Consultation","60000"
"RV004","2026-09-22","Laboratory","45000"
"RV005","2026-09-23","Pharmacy","70000"
"RV006","2026-09-24","Bed Charge","30000"
"RV007","2026-09-25","Emergency Service","15000"
"RV008","2026-09-26","Pharmacy","20000"
"RV009","2026-09-27","Consultation","25000"
"RV010","2026-09-28","Consultation","20000"
"RV011","2026-09-29","Surgery","60000"
"RV012","2026-09-30","Pharmacy","40000"
"RV013","2026-10-01","Emergency Service","20000"
"RV014","2026-10-02","Bed Charge","20000"
"RV015","2026-10-03","Pharmacy","30000"
"RV016","2026-10-04","Laboratory","25000"
"RV017","2026-10-05","Bed Charge","40000"
"RV018","2026-10-06","Bed Charge","60000"
"RV019","2026-10-07","Emergency Service","75000"
"RV020","2026-10-08","Laboratory","50000"
"RV021","2026-10-09","Consultation","75000"
"RV022","2026-10-10","Consultation","40000"
"RV023","2026-10-11","OT Charge","15000"
"RV024","2026-10-12","Consultation","10000"
"RV025","2026-10-13","Consultation","30000"
"RV026","2026-10-14","Surgery","10000"
"RV027","2026-10-15","Ambulance","40000"
"RV028","2026-10-16","Ambulance","15000"
"RV029","2026-10-17","OT Charge","60000"
"RV030","2026-10-18","Ambulance","50000"
"RV031","2026-10-19","Emergency Service","15000"
"RV032","2026-10-20","Surgery","25000"
"RV033","2026-10-21","Bed Charge","60000"
"RV034","2026-10-22","Emergency Service","75000"
"RV035","2026-10-23","OT Charge","50000"
"RV036","2026-10-24","Bed Charge","75000"
"RV037","2026-09-25","Pharmacy","60000"
"RV038","2026-09-26","Pharmacy","10000"
"RV039","2026-09-27","Pharmacy","30000"
"RV040","2026-09-28","OT Charge","40000"
"RV041","2026-09-29","Consultation","15000"
"RV042","2026-09-30","Bed Charge","75000"
"RV043","2026-10-01","Bed Charge","30000"
"RV044","2026-10-02","Pharmacy","50000"
"RV045","2026-10-03","Pharmacy","75000"
"RV046","2026-10-04","OT Charge","15000"
"RV047","2026-10-05","Pharmacy","30000"
"RV048","2026-10-06","Bed Charge","75000"
"RV049","2026-10-07","Bed Charge","25000"
"RV050","2026-10-08","OT Charge","10000"
"RV051","2026-10-09","Pharmacy","40000"
"RV052","2026-10-10","Surgery","40000"
"RV053","2026-10-11","OT Charge","40000"
"RV054","2026-10-12","Pharmacy","15000"
"RV055","2026-10-13","Consultation","10000"
"RV056","2026-10-14","Surgery","40000"
"RV057","2026-10-15","OT Charge","30000"
"RV058","2026-10-16","Surgery","50000"
"RV059","2026-10-17","Pharmacy","60000"
"RV060","2026-10-18","Emergency Service","15000"
"RV061","2026-10-19","OT Charge","15000"
"RV062","2026-10-20","Bed Charge","25000"
"RV063","2026-10-21","Consultation","30000"
"RV064","2026-10-22","Surgery","60000"
"RV065","2026-10-23","OT Charge","25000"
"RV066","2026-10-24","Surgery","10000"
"RV067","2026-09-25","Bed Charge","75000"
"RV068","2026-09-26","OT Charge","40000"
"RV069","2026-09-27","Emergency Service","60000"
"RV070","2026-09-28","Bed Charge","60000"
"RV071","2026-09-29","Pharmacy","40000"
"RV072","2026-09-30","Ambulance","30000"
"RV073","2026-10-01","OT Charge","40000"
"RV074","2026-10-02","Ambulance","25000"
"RV075","2026-10-03","Consultation","30000"
"RV076","2026-10-04","Emergency Service","30000"
"RV077","2026-10-05","Emergency Service","50000"
"RV078","2026-10-06","OT Charge","20000"
"RV079","2026-10-07","Emergency Service","75000"
"RV080","2026-10-08","Surgery","50000"
"RV081","2026-10-09","Ambulance","25000"
"RV082","2026-10-10","Pharmacy","20000"
"RV083","2026-10-11","OT Charge","75000"
"RV084","2026-10-12","OT Charge","10000"
"RV085","2026-10-13","Ambulance","20000"
"RV086","2026-10-14","Bed Charge","40000"
"RV087","2026-10-15","Consultation","40000"
"RV088","2026-10-16","Surgery","50000"
"RV089","2026-10-17","Surgery","60000"
"RV090","2026-10-18","Surgery","25000"
"RV091","2026-10-19","Bed Charge","40000"
"RV092","2026-10-20","Emergency Service","60000"
"RV093","2026-10-21","Pharmacy","50000"
"RV094","2026-10-22","Bed Charge","40000"
"RV095","2026-10-23","Emergency Service","20000"
"RV096","2026-10-24","Bed Charge","10000"
"RV097","2026-09-25","Surgery","20000"
"RV098","2026-09-26","Emergency Service","25000"
"RV099","2026-09-27","Pharmacy","20000"
"RV100","2026-09-28","Surgery","40000"
